"State/Union Territory","Cashewnut 2009-10 Area (in '000 Hectare)","Cashewnut 2010-11 Area (in '000 Hectare)","Cashewnut 2009-10 Production (in '000 Tonne)","Cashewnut 2010-11 Production (in '000 Tonne)","Arecanut 2009-10 Area (in '000 Hectare)","Arecanut 2010-11 Area (in '000 Hectare)","Arecanut 2009-10 Production (in '000 Tonne)","Arecanut 2010-11 Production (in '000 Tonne)","Cocoa 2009-10 Area (in '000 Hectare)","Cocoa 2010-11 Area (in '000 Hectare)","Cocoa 2009-10 Production (in '000 Tonne)","Cocoa 2010-11 Production (in '000 Tonne)","Coconut 2009-10 Area (in '000 Hectare)","Coconut 2010-11 Area (in '000 Hectare)","Coconut 2009-10 Production (in '000 Tonne)","Coconut 2010-11 Production (in '000 Tonne)","Total 2009-10 Area (in '000 Hectare)","Total 2010-11 Area (in '000 Hectare)","Total 2009-10 Production (in '000 Tonne)","Total 2010-11 Production (in '000 Tonne)"
" Nagaland ","NA","NA","NA","NA","0.2","0.2","1.3","1.3","NA","NA","NA","NA","0.9","0.9","NA","0.3","1.1","1.1","1.3","1.6"
" Orissa","143.0","149.0","84.0","91.0","NA","NA","NA","NA","NA","NA","NA","NA","51.0","51.0","NA","190.0","194.0","200.0","84.0","281.0"
" Punjab","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Rajasthan","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Sikkim","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Tamil Nadu","133.0","135.0","60.0","65.0","5.0","5.0","10.4","10.4","9.3","17.9","0.9","1.0","390.0","390.0","NA","3692.0","537.3","547.9","71.3","3768.4"
" Tripura","NA","NA","NA","NA","4.4","4.4","8.4","8.4","NA","NA","NA","NA","5.8","5.8","NA","8.0","10.2","10.2","8.4","16.4"
" Uttarakhand","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Uttar Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" West Bengal ","11.0","11.0","10.0","11.0","11.4","11.4","21.2","21.2","NA","NA","NA","NA","28.6","28.6","NA","245.0","51.0","51.0","31.2","277.2"
" A. & N. Islands","NA","1.1","NA","0.3","4.1","4.1","6.0","6.0","NA","NA","NA","NA","21.7","21.7","56.0","65.4","25.8","26.9","62.0","71.7"
" Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" D. & N. Haveli ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Daman and Diu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Delhi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2.7","2.7","40.0","40.0","2.7","2.7","40.0","40.0"
" Puducherry","NA","NA","NA","NA","0.1","0.1","0.1","0.1","NA","NA","NA","NA","2.1","2.1","20.0","20.0","2.2","2.2","20.1","20.1"
